Index,ID,StartTime,EndTime,Environment,Accountability,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,Hits,Misses,Moves,CommentCount,CommentAvgLen,paoa.check_1,paoa.check_2,paoa.check_3,paoa.check_4,paoa.avg,analytic_1,analytic_2,analytic_3,analytic_4,analytic_5,analytic_6,analytic_7,analytic_8,analytic_9,analytic_10,analytic.avg,emot_1,emot_2,emot_3,emot_4,emot_5,emot_6,emot_7,emot_8,emot_9,emot_10,emot_11,emot_12,emot_13,emot_avg,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,crt_s,consc_1,consc_2*,consc_3,consc_4*,consc.avg,agree_1,agree_2*,agree_3,agree_4*,agree.avg,extro_1,extro_2*,extro_3,extro_4*,extro.avg,open_1,open_2*,open_3*,open_4*,open.avg,neuro_1,neuro_2*,neuro_3,neuro_4*,neuro.avg,cognition_1,cognition_2,cognition_3*,cognition_4*,cognition_5*,cognition_6,cognition_7*,cognition_8*,cognition_9*,cognition_10,cognition_11,cognition_12*,cognition_13,cognition_14,cognition_15,cognition_16*,cognition_17*,cognition_18,cognition.avg,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_5*,aomt_6*,aomt_7*,aomt_8,aomt_9,aomt.avg,educ,age,gender,race
1,074z4uK9cQxJLD9B0eKBY3,4/7/16 7:22,4/7/16 7:25,0,2,-1,-2.5,-3.5,-2,-3,-4.5,-5.5,-7,-8.5,-10,-11,-12.5,-14,-12.5,-14,-12,-13,-14.5,-12.5,-14,-15.5,-17,-18,-19.5,-18,-19,-20,-18,-19.5,-18,-19.5,-21,-22.5,-24,-25,-26.5,-28,-29.5,-31,-32.5,-34,-32,-33,-34,-35,-36,-34.5,-36,-37,-38.5,-40,-41.5,-40,-41.5,-40,-41.5,-43,-44.5,-42.5,-44,12,48,40,0,0.00,2,3,3,3,2.75,2,5,2,2,2,2,2,2,2,2,2.30,4,3,1,2,3,3,2,3,1,4,2,1,5,2.62,0.05,1,100,0,47,1,2,6,6,7,6,6.25,5,6,4,6,5.25,4,6,3,5,4.50,5,5,5,5,5.00,3,5,5,5,4.50,5,6,6,5,5,3,6,3,2,6,5,5,6,5,4,5,5,4,4.78,5,6,6,6,6,5,6,3,5,5.33,3,1,2,1
2,0MuDQcTiZM-1f8S1dZoNm0,4/10/16 19:01,4/10/16 19:04,1,1,-1,-2,-3,-4,-2.5,-0.5,1.5,3.5,5.5,7.5,6.5,8.5,10.5,9.5,11.5,13.5,15.5,17.5,16.5,15.5,14.5,16.5,18.5,17.5,19.5,18.5,20.5,22.5,24.5,26.5,25.5,24.5,23.5,25.5,24.5,26.5,25.5,24.5,23.5,22.5,21.5,23.5,25.5,24.5,23.5,22.5,21.5,23.5,25.5,24.5,26.5,25.5,24.5,26.5,25.5,27.5,29.5,31.5,33.5,35.5,32,28,1,1,2.00,6,6,1,1,3.50,7,2,7,7,2,7,7,7,7,7,6.00,3,3,1,2,3,4,3,2,1,1,1,2,3,2.23,0.10,0,5,1,47,1,2,1,1,2,2,1.50,3,7,3,7,5.00,5,7,5,3,5.00,7,6,6,6,6.25,2,2,2,6,3.00,6,6,6,6,6,6,6,2,6,6,6,6,2,6,6,6,6,6,5.56,6,7,7,7,4,7,7,7,6,6.44,3,1,2,1
3,"1fOzlTpXb-z02uZu,YCYs0",4/8/16 7:38,4/8/16 7:44,0,1,-1,1,-0.5,-1.5,-2.5,-4,-5.5,-7,-8.5,-9.5,-7.5,-9,-7.5,-8.5,-10,-8,-6,-7.5,-5.5,-6.5,-7.5,-9,-10.5,-11.5,-12.5,-11,-12.5,-11,-9,-7,-8,-9.5,-11,-12,-13.5,-11.5,-12.5,-14,-15.5,-14,-12,-13,-14,-12,-13,-14,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23.5,-25,-26,15,45,22,1,33.00,1,1,3,1,1.50,5,3,3,3,4,2,5,5,5,2,3.70,4,4,2,2,4,3,1,2,1,1,1,1,4,2.31,0.05,1,100,0,47,1,2,7,6,7,6,6.50,7,7,7,7,7.00,3,5,6,6,5.00,5,4,3,5,4.25,3,2,3,3,2.75,3,4,3,3,3,2,5,2,2,4,3,5,3,3,3,2,2,5,3.17,5,7,5,6,3,3,6,4,3,4.67,3,1,2,1
4,1GyMbxKTlxfTOdyw9oGOV1,3/20/16 12:09,3/20/16 12:14,0,1,2,0.5,2,0.5,2.5,1,0,1.5,3.5,2,1,0,-1,0.5,2.5,1.5,3.5,2.5,4.5,3.5,5.5,7.5,6.5,5.5,7.5,9.5,8.5,10.5,12.5,11.5,10.5,12.5,14.5,16.5,15.5,17.5,16.5,15.5,17.5,19.5,18.5,20.5,19.5,21.5,23.5,22.5,21.5,23.5,25.5,24.5,26.5,25.5,27.5,29.5,28.5,27.5,29.5,31.5,33.5,35.5,33,27,7,1,3.00,4,2,1,6,3.25,5,6,6,6,5,5,5,4,4,7,5.30,3,3,2,4,3,3,4,2,2,4,2,4,4,3.08,0.05,1,100,0,47,1,2,5,2,6,3,4.00,6,3,5,4,4.50,5,6,3,4,4.50,6,5,5,6,5.50,6,5,5,4,5.00,7,7,4,5,6,3,3,2,6,7,7,7,7,5,7,5,3,3,5.22,6,7,7,4,3,3,5,5,7,5.22,2,1,1,4
5,1vbzDfM4nYqUaQ9e-fweW3,3/18/16 9:48,3/18/16 9:50,0,1,-1,-2.5,-1,-2.5,-4,-5.5,-4,-2.5,-1,-2.5,-4,-2.5,-4,-2.5,-4,-5.5,-4,-5.5,-7,-5.5,-7,-5.5,-6.5,-7.5,-6,-7.5,-9,-10.5,-12,-13.5,-15,-16.5,-18,-19.5,-21,-22,-23.5,-25,-23,-24.5,-26,-27.5,-29,-27.5,-29,-27.5,-29,-30.5,-32,-33.5,-35,-36.5,-38,-39.5,-41,-42.5,-44,-45.5,-44,-45.5,14,46,55,0,0.00,4,3,2,3,3.00,2,5,2,3,3,5,6,6,3,5,4.00,4,3,1,2,4,5,2,3,1,1,1,1,3,2.38,0.10,0,100,0,24,0,0,3,3,6,3,3.75,7,7,7,7,7.00,6,6,6,7,6.25,5,6,6,6,5.75,2,5,2,5,3.50,4,5,6,6,5,6,5,3,5,5,4,6,4,6,4,5,6,5,5.00,4,6,6,7,5,6,7,5,5,5.67,3,1,1,2
6,2AfpUtLC1eJy7Z284NTge3,4/10/16 13:19,4/10/16 13:25,1,0,2,4,3,1.5,3.5,2.5,1,0,-1,-2,-0.5,-1.5,-2.5,-4,-5,-3.5,-5,-3.5,-1.5,0,-1,-2,-0.5,1.5,0,2,0.5,-0.5,1,-0.5,-2,0,2,3.5,5.5,7,6,7.5,9,8,9.5,8,6.5,5,4,2.5,1.5,0,-1.5,-2.5,-0.5,1.5,3.5,5.5,4,2.5,1.5,3,5,3.5,26,34,29,2,6.50,1,1,1,1,1.00,5,5,4,6,6,5,6,6,5,5,5.30,3,3,1,1,4,3,1,2,1,1,1,1,3,1.92,0.05,1,100,0,47,1,2,5,6,6,6,5.75,6,6,5,6,5.75,5,5,5,5,5.00,5,5,5,6,5.25,2,4,2,5,3.25,5,6,5,6,6,6,5,6,5,5,5,6,6,4,6,6,6,4,5.44,4,6,5,6,4,3,6,4,5,4.78,3,1,1,1
7,"3mCMyG,6sXSAuTOnB7xbO2",3/22/16 12:55,3/22/16 13:00,1,1,-1,-2.5,-3.5,-4.5,-5.5,-6.5,-8,-6.5,-4.5,-5.5,-7,-8,-9.5,-7.5,-8.5,-6.5,-4.5,-5.5,-7,-8,-9.5,-11,-12.5,-10.5,-11.5,-13,-11,-9,-10,-8.5,-6.5,-7.5,-9,-10,-8.5,-9.5,-8,-6,-7.5,-8.5,-7,-5,-3,-4,-5.5,-6.5,-7.5,-6,-4,-2,0,2,1,3,2,3.5,5,4,3,2,24,36,20,0,0.00,1,1,1,1,1.00,2,2,2,2,2,3,3,2,2,2,2.20,3,3,2,3,3,3,2,2,2,3,1,1,2,2.31,0.05,1,5,1,47,1,3,3,7,6,7,5.75,5,6,4,5,5.00,4,7,6,5,5.50,5,6,6,7,6.00,4,6,5,5,5.00,5,6,5,6,5,3,6,4,4,6,5,6,3,6,6,6,5,5,5.11,6,7,6,7,6,7,7,6,6,6.44,3,1,2,3
8,3oXCdy7KvQE75TfbaXkdi3,4/15/16 20:50,4/15/16 20:53,1,0,-1,-2,0,-1.5,0.5,-0.5,-2,-3,-4,-5,-6,-7,-5,-6.5,-7.5,-8.5,-6.5,-4.5,-5.5,-6.5,-4.5,-5.5,-6.5,-4.5,-5.5,-6.5,-7.5,-5.5,-6.5,-4.5,-2.5,-0.5,1.5,0.5,-0.5,1.5,3.5,5.5,4.5,6.5,8.5,7.5,9.5,11.5,13.5,15.5,17.5,16.5,15.5,14.5,13.5,15.5,17.5,16.5,18.5,20.5,22.5,24.5,26.5,25.5,29,31,3,0,0.00,1,1,1,1,1.00,5,5,5,5,5,4,5,4,4,4,4.60,3,4,1,3,4,4,2,3,2,2,1,3,4,2.77,0.05,1,100,0,47,1,2,6,2,5,3,4.00,5,6,5,6,5.50,5,6,6,6,5.75,5,5,5,6,5.25,2,6,2,5,3.75,5,5,3,4,7,3,6,3,4,6,4,6,4,5,4,5,5,3,4.56,6,6,6,6,5,6,6,5,4,5.56,3,1,2,3
9,4lxGvPwcEjDyAKDCdFdNd3,4/7/16 7:21,4/7/16 7:24,0,0,-1,-2,-3.5,-5,-6,-7,-8,-6,-7,-5,-3,-4,-2,0,-1,1,3,5,7,6,8,10,12,14,16,15,14,16,15,17,16,15,14,16,15,17,16,18,17,19,21,20,22,24,26,28,30,29,28,27,29,31,33,32,34,36,38,37,39,38,33,27,2,2,4.00,2,2,1,1,1.50,3,7,7,6,3,6,6,6,4,6,5.40,4,4,1,3,3,4,2,3,1,1,1,2,3,2.46,0.05,1,100,0,47,1,2,3,3,6,4,4.00,6,5,5,5,5.25,3,5,6,6,5.00,5,5,4,5,4.75,4,3,3,3,3.25,4,5,5,4,6,5,3,3,3,6,6,5,5,5,5,6,5,3,4.67,5,6,5,4,5,3,6,5,4,4.78,3,1,2,1
10,"4O6V2COBrh4X9R,wTkTpn3",4/10/16 11:29,4/10/16 11:32,0,1,2,1,-0.5,-1.5,0.5,-0.5,-1.5,0.5,-0.5,1.5,3.5,2,4,6,7.5,6.5,5.5,4.5,3.5,5.5,4.5,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,1,0,-1.5,-2.5,-0.5,-1.5,-2.5,-0.5,-1.5,-2.5,-0.5,-1.5,-2.5,-3.5,-1.5,-2.5,-0.5,-1.5,-2.5,-3.5,-1.5,0.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,-3.5,-4.5,-5.5,19,41,5,0,0.00,1,1,1,1,1.00,6,6,6,6,5,7,6,6,6,7,6.10,3,4,2,3,3,3,3,2,2,2,1,1,3,2.46,0.05,1,5,1,47,1,3,7,6,7,7,6.75,4,3,4,4,3.75,4,3,5,4,4.00,4,4,4,4,4.00,4,4,5,5,4.50,4,6,5,5,5,4,5,3,7,4,6,7,6,6,7,6,4,6,5.33,6,6,6,7,3,5,7,5,4,5.44,5,1,1,1
