userid,low_high,num_verb,noground_ground,outcome,act_pos,act_neg,inact_pos,inact_neg,justification,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extra,extra_1,extra_2*,extra_2,extra_3,extra_4*,extra_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3*,need.cog_3,need.cog_4*,need.cog_4,need.cog_5*,need.cog_5,need.cog_6,need.cog_7*,need.cog_7,need.cog_8*,need.cog_8,need.cog_9*,need.cog_9,need.cog_10,need.cog_11,need.cog_12*,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16*,need.cog_16,need.cog_17*,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race,gov.exper,policy
7,0,0,1,2,0,1,0,0,6,1,0.1,0,20,0,47,1,4,5,3,5,5,3,5,4,4,4,4,4,4,4,4.5,5,3,5,5,5,3,5.25,6,4,4,5,3,6,2,3.75,5,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.1111,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,6,4,8,6,1,1,8,2
9,1,1,1,4,0,0,0,1,6,3,0.05,1,5,1,47,1,4.75,6,1,7,6,6,2,6.25,5,6,2,7,7,1,7,7,7,1,7,7,1,6.25,6,7,1,6,2,6,2,3,2,2,6,2,6,2,5.8333,6,6,7,1,7,1,7,1,5,5,3,7,1,2,6,5,7,7,1,5,7,5,6,2,4,4,7,6.1111,7,7,6,7,1,3,5,5,3,7,1,7,6,1,1,1,1,1,6,3,2,1,2,2
12,0,0,1,3,0,0,1,0,7,0,0.1,0,100,0,24,0,3.75,3,4,4,5,3,5,4.5,3,5,3,5,5,3,5.5,7,5,3,5,5,3,4,5,3,5,3,5,5,3,2.5,3,2,6,2,3,5,4,4,3,5,3,5,3,4,4,2,3,5,4,4,2,6,5,6,6,2,3,5,5,3,5,3,5,4,5,6,5,5,6,2,3,5,6,2,6,2,5,3,1,3,3,3,3,5,3,1,1,2,2
14,0,0,1,3,0,0,1,0,6,3,0.05,1,5,1,47,1,5.5,7,1,7,7,7,1,5.5,4,6,2,6,6,2,6.75,7,7,1,6,7,1,6,6,6,2,6,2,6,2,2.25,2,3,5,3,1,7,5.7222,6,6,6,2,6,2,6,2,5,6,2,6,2,5,3,6,7,6,2,5,5,5,6,2,6,2,5,5.8889,6,6,6,6,2,6,2,6,2,6,2,6,5,2,5.6667,5,7,5,6,8,1,1,1,2
18,1,1,0,1,1,0,0,0,6,2,0.9,0,5,1,47,1,3.5,2,3,5,7,2,6,6.75,7,7,1,6,7,1,6,7,6,2,4,7,1,5.75,5,6,2,6,2,6,2,3.5,2,4,4,4,4,4,5.2778,4,7,4,4,6,2,7,1,4,7,1,5,3,4,4,5,5,7,1,5,6,6,4,4,3,5,6,5.5556,4,7,7,7,1,4,4,6,2,7,1,6,2,1,2.6667,3,3,2,6,3,2,1,2,1
19,0,0,1,3,0,0,1,0,5,3,0.05,1,5,1,47,1,5.25,5,6,2,5,5,3,2.5,3,2,6,3,2,6,4.5,5,5,3,3,5,3,5,5,5,3,5,3,5,3,4.75,5,5,3,3,6,2,5.0556,5,5,5,3,5,3,5,3,6,3,5,5,3,5,3,7,5,5,3,5,5,5,3,5,5,3,7,5.7778,6,5,6,7,1,7,1,6,2,6,2,5,4,1,1.3333,1,2,1,5,2,1,1,5,2
24,0,1,0,1,1,0,0,0,6,3,0.05,1,5,1,47,1,3.75,3,3,5,6,3,5,7,7,7,1,7,7,1,6,6,6,2,5,7,1,6.5,7,6,2,6,2,7,1,1.5,1,2,6,1,2,6,6.0556,6,7,6,2,6,2,7,1,5,6,2,6,2,7,1,7,7,2,6,6,6,7,6,2,6,2,6,5.3333,6,6,6,6,2,3,5,3,5,7,1,5,6,1,2,3,2,1,5,3,2,1,1,2
26,1,1,0,4,0,0,0,1,2,2,0.05,1,100,0,47,1,4.25,3,5,3,5,4,4,4,2,6,2,2,6,2,5,5,5,3,5,5,3,5.5,6,5,3,5,3,6,2,5.25,5,6,2,5,5,3,5.2778,5,7,6,2,6,2,6,2,3,5,3,6,2,5,3,7,7,5,3,4,4,6,2,6,6,2,5,4.7778,4,5,5,6,2,5,3,5,3,5,3,4,4,1,2,2,3,1,5,2,2,1,3,2
28,0,1,1,3,0,0,1,0,5,1,0,0,100,0,47,1,5.25,3,6,2,6,6,2,2,2,2,6,2,2,6,6,6,5,3,6,7,1,4.5,2,6,2,4,4,6,2,3,2,3,5,2,5,3,5.6111,6,5,7,1,6,2,6,2,6,6,2,6,2,6,2,6,7,6,2,3,6,6,5,3,5,3,3,5.2222,5,6,4,6,2,4,4,6,2,7,1,3,6,1,2.6667,3,3,2,5,1,1,1,5,2
29,0,1,1,3,0,0,1,0,6,2,0.05,1,20,0,47,1,1.75,1,2,6,2,2,6,6.25,6,7,1,5,7,1,6.25,6,6,2,6,7,1,6.75,7,6,2,7,1,7,1,3.5,3,3,5,5,3,5,5.7778,6,7,6,2,6,2,6,2,5,6,2,6,2,6,2,6,5,5,3,5,6,6,6,2,5,3,6,6.2222,5,7,6,7,1,6,2,7,1,7,1,6,5,1,2.3333,3,2,2,6,3,2,7,1,1
32,1,1,0,2,0,1,0,0,5,3,0.05,1,5,1,47,1,4.25,3,3,5,6,5,3,5.75,6,6,2,6,5,3,5.75,7,5,3,6,5,3,6.25,7,6,2,6,2,6,2,3.75,4,3,5,3,5,3,5.5556,5,6,7,1,5,3,6,2,5,6,2,5,3,4,4,5,7,7,1,5,6,4,5,3,6,2,6,6,6,7,7,7,1,5,3,2,6,7,1,7,6,4,4.3333,5,6,2,6,4,1,1,1,1
34,1,1,1,1,1,0,0,0,7,2,0.05,1,100,0,47,1,3.75,3,4,4,4,4,4,4,4,4,4,3,5,3,6.5,7,7,1,6,6,2,6,6,6,2,6,2,6,2,5,5,5,3,5,5,3,5.5,6,6,6,2,6,2,5,3,5,6,2,5,3,4,4,6,6,6,2,4,6,6,5,3,5,3,6,6,6,6,6,6,2,6,2,6,2,6,2,6,6,1,2.3333,3,3,1,6,4,1,1,1,2
36,0,0,0,4,0,0,0,1,3,0,0.1,0,100,0,24,0,4.75,5,5,3,4,5,3,3.75,4,3,5,5,3,5,4.75,6,5,3,5,3,5,5.5,5,6,2,6,2,5,3,3.25,2,5,3,3,3,5,5.8333,7,7,6,2,6,2,6,2,3,6,2,6,2,3,5,6,7,6,2,5,7,6,6,2,6,2,6,6.2222,6,7,7,6,2,6,2,7,1,7,1,6,4,3,1.3333,2,1,1,5,4,1,1,1,2
37,0,0,0,2,0,1,0,0,6,3,0.05,1,5,1,47,1,3.5,3,3,5,6,2,6,5.75,6,5,3,6,6,2,5.25,7,5,3,2,7,1,5.25,3,6,2,7,1,5,3,1.25,1,2,6,1,1,7,5.3889,7,7,6,2,6,2,6,2,6,5,3,6,2,2,6,6,6,6,2,5,7,6,6,2,3,5,1,5.4444,6,6,5,6,2,2,6,3,5,7,1,7,7,5,4.3333,5,5,3,6,4,1,1,1,2
39,0,0,0,4,0,0,0,1,3,2,0.05,1,100,0,47,1,5.25,5,6,2,5,5,3,3.5,4,4,4,3,3,5,5.5,6,5,3,5,6,2,5,5,5,3,5,3,5,3,2.75,2,3,5,4,2,6,4.9444,4,6,5,3,5,3,6,2,5,5,3,5,3,5,3,5,6,5,3,3,5,6,4,4,5,3,4,4.7778,4,6,6,5,3,5,3,5,3,5,3,3,4,3,4,4,5,3,6,3,1,1,1,2
