userid,condition_1,low_high,verb_num,justification_1,condition_2,neg_pos,noact_act,act_pos,act_neg,noact_neg,noact_pos,outcome,justification_2,justification_reason,justification_diff,justification_abs_diff,crt1,crt1_c,crt2,ctr2_c,crt3,ctr3_c,crt_score,consc,consc_1,consc_2,consc_3,consc_4,extra,extra_1,extra_2,extra_3,extra_4,agree,agree_1,agree_2,agree_3,agree_4,open,open_1,open_2,open_3,open_4,neuro,neuro_1,neuro_2,neuro_3,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race
1,1,0,0,2,1,0,0,0,0,1,0,0,3,"The report stated that it was ""very unlikely"" that terrorists were going to target America and it is a big deal to ground all aircraft travel, so I think the President was justified in deciding not to order all planes to be grounded. ",1,1,0.05,1,5,1,47,1,3,4.75,6,2,6,5,2,1,3,1,3,5,5,5,5,5,4.5,5,5,3,5,5,5,5,5,5,4.388888889,4,3,5,5,5,5,5,3,5,4,4,5,3,5,4,3,6,5,5.111111111,4,5,5,6,5,6,6,4,5,1,3.666666667,3,5,3,3,1,2,1
2,4,1,1,7,1,0,0,0,0,1,0,0,2,He had the intelligence but chose not to act on it.,-5,5,0.05,1,5,1,47,1,3,4,3,3,6,4,4.25,4,3,5,5,7,7,7,7,7,6.5,6,6,7,7,3.75,6,2,2,5,5.777777778,6,6,6,6,6,5,7,6,2,6,6,6,6,6,6,6,6,6,5.222222222,5,6,5,5,3,5,6,6,6,1,1.333333333,1,2,1,2,1,2,4
3,2,0,1,3,1,0,0,0,0,1,0,0,5,"Because the probability was only 20%, it is reasonable to not ground all aircraft.  ",2,2,0.05,1,5,1,47,1,3,4.25,5,3,6,3,3,3,3,3,3,7,7,7,7,7,5.5,5,6,6,5,2.5,2,2,3,3,5.222222222,6,5,6,6,6,5,6,6,3,3,5,6,5,6,6,5,6,3,5.666666667,6,6,6,6,5,5,6,6,5,5,5,5,5,5,5,1,1,1
4,3,1,0,6,1,0,0,0,0,1,0,0,3,a threat like this  should be considered.,-3,3,0.05,1,100,0,47,1,2,4,3,3,5,5,3.5,3,4,4,3,4.75,5,4,5,5,4.75,4,5,5,5,2.5,2,2,2,4,4.222222222,5,4,4,4,5,3,4,5,5,4,5,5,5,3,5,3,4,3,4.111111111,4,5,4,5,3,3,5,3,5,1,4,4,4,4,3,1,1,2
5,2,0,1,5,4,1,1,1,0,0,0,0,4,he is commander and chief. he should take responsibilty,-1,1,1.05,0,100,0,47,1,1,3.75,3,4,4,4,4,5,4,4,3,4.75,5,4,5,5,3.5,3,3,3,5,4,3,5,3,5,3.944444444,3,4,4,5,3,3,4,5,5,4,4,4,3,5,3,5,3,4,3.888888889,3,5,3,5,4,4,3,5,3,1,4.666666667,5,5,4,3,1,1,2
6,3,1,0,5,2,0,1,0,1,0,0,1,5,The President used his current knowledge to his best ability ,0,0,0.05,1,20,0,47,1,2,4,3,5,5,3,3.5,3,3,5,3,5.5,6,6,5,5,4.5,5,5,3,5,4.75,3,6,5,5,4.5,5,3,5,5,5,5,5,2,5,3,5,5,5,5,5,2,5,6,5.111111111,6,6,6,6,2,3,6,6,5,5,4,4,4,4,3,1,2,1
7,3,1,0,5,2,0,1,0,1,0,0,1,5,"People's lives are more important than money, however, financial consequences should be considered.",0,0,0.05,1,100,0,36,0,1,4.75,5,3,7,4,4.75,5,5,4,5,5,7,3,4,6,6,7,4,6,7,3.5,4,3,4,3,3,2,4,1,1,2,3,1,4,1,7,7,6,1,7,1,3,1,2,2.111111111,1,4,2,1,6,1,1,2,1,5,6.666666667,7,6,7,3,1,1,1
8,4,1,1,5,4,1,1,1,0,0,0,0,6,trying to protect the lives of Americans....his job. ,1,1,0.10,0,100,0,47,1,1,5,5,5,5,5,5.25,5,6,4,6,5.5,6,5,5,6,5,5,5,5,5,3.5,3,4,4,3,5,5,5,6,5,6,3,5,5,5,5,6,5,5,5,4,6,6,3,4.444444444,4,5,4,5,3,4,5,5,5,2,7.333333333,7,7,8,3,1,1,1
9,1,0,0,5,1,0,0,0,0,1,0,0,4,It wasn't his fault ,-1,1,0.10,0,100,0,24,0,0,6,6,6,6,6,4.75,4,5,5,5,5.75,6,5,6,6,4,6,2,4,4,3.75,4,3,4,4,4.111111111,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,3,4,4,4,4,1,2,2,2,2,2,1,2,2
10,4,1,1,7,3,1,0,0,0,0,1,1,5,"He saved the US a lot of money, which was smart, but had the attack occurred, he would have knowingly put many lives in danger.",-2,2,0.10,0,100,0,47,1,1,3.75,3,4,4,4,2.25,2,3,2,2,6.25,7,6,5,7,4,4,3,3,6,2.25,2,2,2,3,4.888888889,6,6,6,5,6,2,5,6,3,4,5,4,4,2,6,7,6,5,5.888888889,5,7,7,7,3,5,7,6,6,1,2.666666667,3,4,1,3,1,2,1
