userid,account,uncertainty_1,uncertainty_2,likelihood_e,reduc_e,likelihood_s,reduc_s,Finished,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA,1L. NoA_1,1L. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA,1. NoA.,1M. NoA._1,1M. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1M. NoA._1,1M. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA.,1M. NoA_1,1M. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2L. Acc._1,2L. Acc._1,NoA.,1. NoA.,1H. NoA_1,1H. NoA._1,2. NoA.,2M. Acc._1,2M. Acc._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2H. Acc._1,2H. Acc._1,Acc.,1. Acc,1L. Acc._1,1L. Acc._1,2. Acc,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extro,extro_1,extro_2*,extro_2,extro_3,extro_4*,extro_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,nfc,nfc_1,nfc_2,nfc_3*,nfc_3,nfc_4*,nfc_4,nfc_5*,nfc_5,nfc_6,nfc_7*,nfc_7,nfc_8*,nfc_8,nfc_9*,nfc_9,nfc_10,nfc_11,nfc_12*,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16*,nfc_16,nfc_17*,nfc_17,nfc_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,background,pol.party,pol.party_TEXT,pol.orient_1,pol.orient_2,pol.orient_3,educ,age,gender,race,pol.exp_1,pol.exp_2,pol.exp_3,pol.exp_4,pol.exp_5,pol.exp_6,pol.exp_7,pol.exp_8,policy
1,1,1,0,0,1,0,1,1,1,1,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4.5,3,6,2,5,4,4,4.25,2,4,4,5,6,2,4.5,3,5,3,5,5,3,4,6,4,4,3,5,3,5,4,5,4,4,5,2,6,4.666666667,7,3,5,3,6,2,5,3,7,1,7,5,3,6,2,5,1,7,1,7,4,4,2,6,2,6,7,4.333333333,4,3,7,4,4,6,2,2,6,7,1,4,2,1,2,,7,8,9,5,1,1,1,,,,,,,1,,2
2,0,1,1,82,8,62,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,82,8,1,62,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,6,5,5,3,7,7,1,4.75,5,3,5,5,6,2,4.5,6,3,5,4,5,3,6.25,6,6,2,6,2,7,1,2.75,1,3,5,3,4,4,5.222222222,2,6,6,2,6,2,2,6,6,6,2,6,2,6,2,6,6,4,4,6,7,7,1,7,4,4,7,4.777777778,6,6,7,3,5,3,5,5,3,6,2,3,4,1,1,,4,6,3,3,1,2,4,,,,,1,,1,,2
3,1,1,3,60,8,100,8,1,,,,,,,,,,,,,,,1,1,60,8,1,100,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,6,5,6,2,6,7,1,4.25,4,4,4,3,6,2,5.25,5,5,3,5,6,2,5.25,6,3,5,5,3,7,1,5,2,6,2,6,6,2,5.611111111,6,6,5,3,5,3,6,2,6,5,3,6,2,6,2,6,6,6,2,6,6,7,5,3,1,7,7,4.888888889,5,6,3,5,3,6,2,3,5,5,3,5,6,1,1,,4,6,5,3,1,2,4,,,,,,,,1,2
4,0,1,3,90,5,90,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,5,1,90,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3,5,2,6,3,2,6,4,3,4,4,5,4,4,6,6,5,3,7,6,2,6,6,6,2,6,2,6,2,6,6,5,3,6,7,1,6.166666667,3,4,7,1,7,1,6,2,6,6,2,6,2,6,2,6,6,6,2,7,7,7,7,1,7,1,7,5.777777778,5,7,6,6,2,3,5,7,1,7,1,6,5,1,1,,2,2,1,2,1,2,1,,,,,,,,1,2
5,0,1,0,75,10,0,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,75,10,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,2,2,1,7,3,2,6,5.75,5,6,2,6,6,2,3,3,3,5,3,3,5,5.75,5,7,1,7,1,4,4,6,7,6,2,6,5,3,5.888888889,7,7,6,2,6,2,7,1,5,7,1,6,2,4,4,7,5,4,4,5,7,7,3,5,6,2,7,5.888888889,6,6,7,6,2,5,3,6,2,7,1,6,4,1,1,,3,4,3,5,1,1,1,,,,,,,1,,2
6,0,3,1,65,60,100,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,65,60,1,100,5,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3.25,2,3,5,5,3,5,5.25,5,6,2,5,5,3,7,7,7,1,7,7,1,5.75,7,5,3,6,2,5,3,2.75,1,2,6,3,5,3,5.722222222,5,7,7,1,6,2,3,5,6,6,2,6,2,5,3,5,7,6,2,6,5,7,5,3,6,2,5,4.888888889,6,6,6,6,2,2,6,3,5,6,2,5,4,1,1,,4,5,3,5,1,1,3,,,,,,,1,,2
7,1,2,3,71,25,81,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,71,25,1,81,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,100,0,47,1,3.25,3,2,6,6,2,6,4.75,4,5,3,5,5,3,6.5,6,7,1,6,7,1,5,3,6,2,6,2,5,3,3.5,2,5,3,3,4,4,5.277777778,4,5,7,1,5,3,5,3,1,5,3,3,5,7,1,7,5,7,1,5,7,7,5,3,5,3,5,6.222222222,5,6,7,7,1,5,3,6,2,7,1,7,6,1,1,,3,2,2,3,1,2,1,,,,1,1,,,,1
8,1,2,2,90,40,80,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,40,1,80,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3.25,3,2,6,5,3,5,5.25,3,6,2,6,6,2,4.75,5,5,3,3,6,2,4,3,4,4,4,4,5,3,3.25,2,4,4,2,5,3,4.444444444,4,4,4,4,4,4,6,2,5,6,2,3,5,6,2,4,5,5,3,2,4,3,5,3,3,5,7,5.555555556,3,6,6,7,1,6,2,6,2,7,1,4,5,1,1,,2,3,1,3,1,2,1,,,,,1,,,,2
9,0,2,0,61,50,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,61,50,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,1,100,0,16,0,4,3,5,3,5,3,5,2.5,1,5,3,2,2,6,6,6,6,2,6,6,2,6,5,7,1,6,2,6,2,3.5,2,4,4,3,5,3,5.444444444,4,6,7,1,7,1,7,1,3,6,2,5,3,6,2,6,6,7,1,2,6,1,6,2,7,1,6,4.777777778,4,6,6,5,3,1,7,5,3,7,1,4,5,1,1,,3,5,2,3,1,2,2,,,,,,,1,,2
10,0,3,3,30,60,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30,60,1,90,10,0,0.10,0,100,0,23,0,5.75,6,6,2,6,5,3,2.5,2,4,4,2,2,6,5.5,6,6,2,6,4,4,5,7,4,4,3,5,6,2,5,5,3,5,6,6,2,2.777777778,3,3,3,5,3,5,3,5,2,5,3,2,6,1,7,2,3,2,6,5,2,5,1,7,2,6,3,5.222222222,3,6,7,6,2,4,4,7,1,7,1,4,3,1,1,,3,4,3,3,1,2,1,,,,,,,,1,2
11,0,3,2,34,70,71,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,34,70,1,71,31,,,,,,,,2,0.05,1,20,0,47,1,4.75,4,2,6,7,6,2,4.75,5,5,3,3,6,2,5.25,6,5,3,5,5,3,3.5,3,4,4,3,5,4,4,3.75,2,5,3,4,4,4,4.777777778,1,5,5,3,6,2,6,2,4,6,2,2,6,3,5,6,6,6,2,3,3,6,6,2,6,2,6,4.777777778,6,7,5,5,3,2,6,2,6,5,3,5,6,1,1,,2,4,2,3,1,1,1,,,,,,,1,,2
12,0,1,3,62,5,15,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,62,5,1,15,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,3.25,2,2,6,5,4,4,3.75,2,4,4,5,4,4,5,6,2,6,5,7,1,4.25,4,5,3,4,4,4,4,3,4,2,6,4,2,6,5.333333333,2,6,7,1,7,1,6,2,5,6,2,6,2,5,3,5,5,6,2,5,5,6,3,5,5,3,6,5.555555556,6,7,6,6,2,4,4,3,5,7,1,6,5,1,2,,6,7,3,3,1,1,1,,,,,1,,,,2
13,1,1,2,10,10,0,50,1,,,,,,,,1,1,10,10,1,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,20,0,47,1,5,3,6,2,7,4,4,4.75,4,4,4,6,5,3,4.25,7,6,2,3,1,7,6.25,7,6,2,6,2,6,2,2.25,2,1,7,2,4,4,4.944444444,6,6,6,2,6,2,6,2,6,3,5,3,5,5,3,5,7,1,7,7,6,7,1,7,5,3,3,6.111111111,7,6,6,7,1,5,3,5,3,7,1,6,6,1,1,,3,4,1,5,1,2,4,,,,,1,,,,2
14,0,2,1,85,38,93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,85,38,1,93,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4,2,6,2,5,3,5,6.5,6,6,2,7,7,1,6,6,6,2,5,7,1,5.5,6,6,2,3,5,7,1,2.5,1,2,6,2,5,3,5.111111111,2,6,6,2,6,2,6,2,2,3,5,5,3,2,6,6,6,6,2,6,6,6,6,2,6,2,6,6.777777778,6,7,7,7,1,6,2,7,1,7,1,7,7,1,1,,3,2,2,3,1,1,1,,1,1,1,,,1,,2
15,1,2,2,71,0,71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,71,,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4.5,3,6,2,5,4,4,4.5,4,4,4,5,5,3,4.25,5,3,5,5,4,4,6,6,6,2,6,2,6,2,2.25,2,2,6,2,3,5,4.777777778,5,5,5,3,5,3,5,3,5,3,5,5,3,3,5,5,6,6,2,5,5,5,5,3,3,5,5,5.444444444,5,7,5,6,2,5,3,6,2,6,2,5,4,1,1,,4,4,3,5,1,1,1,,,,,,,,,2
16,0,3,3,61,30,72,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,61,30,1,72,22,1,0.10,0,100,0,47,1,2.5,1,1,7,6,2,6,7,7,7,1,7,7,1,7,7,7,1,7,7,1,6.75,7,7,1,6,2,7,1,4,4,4,4,4,4,4,4.944444444,6,4,5,3,4,4,4,4,4,4,4,5,3,2,6,7,6,7,1,6,6,6,2,6,5,3,6,5.777777778,6,6,7,5,3,6,2,3,5,7,1,7,5,1,1,,2,3,1,3,1,2,7,,,,1,1,,1,,2
