start,end,id,certainty,account,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,percent_change1,percent_change2,percent_change3,percent_change4,percent_change5,percent_change6,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,crt_s,consc_1,consc_2*,consc_3,consc_4*,consc,extra_1,extra_2*,extra_3,extra_4*,extra,agree_1,agree_2*,agree_3,agree_4*,agree,open_1,open_2*,open_3*,open_4*,open,neuro_1,neuro_2*,neuro_3,neuro_4*,neuro,need.cog_1,need.cog_2,need.cog_3*,need.cog_4*,need.cog_5*,need.cog_6,need.cog_7*,need.cog_8*,need.cog_9*,need.cog_10,need.cog_11,need.cog_12*,need.cog_13,need.cog_14,need.cog_15,need.cog_16*,need.cog_17*,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_5*,aomt_6*,aomt_7*,aomt_8,aomt_9,aomt,educ,age,gender,race
3/11/17 14:12,3/11/17 14:18,2597,0,0,0.50,0.00,0.00,0.30,0.20,-0.20,0.20,0.30,-0.10,0.60,0.10,0.40,0.10,0.40,-0.50,0.20,0.30,0.10,0.20,0.30,0.00,0.30,0.22,0.23,-0.04,-0.40,-0.33,2.00,-0.83,1.00,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,100,0,24,0,0,7,7,7,7,7.00,4,4,4,4,4.00,7,7,7,7,7.00,5,5,2,7,4.75,5,5,1,3,3.50,2,2,2,2,2,6,2,2,2,6,6,2,6,6,6,2,2,6,3.56,3,3,6,4,5,5,5,7,4,4.67,3,1,2,1
3/2/17 8:44,3/2/17 9:14,3352,0,1,0.50,0.00,0.00,0.40,0.10,-0.10,0.50,0.00,0.10,0.10,0.40,-0.40,0.40,0.10,0.30,0.60,0.10,0.20,0.20,0.30,-0.40,0.30,0.25,0.14,-0.04,-0.20,0.25,-0.80,3.00,0.50,-0.67,"I know that when a change to the status quo is suggested, the people of Apple are cautious, I know that in the last 10 elections where a change was suggested 7 of those polls was predictive. So this poll has a .7 chance that it is predictive, but that is independent of who will win. ",284,The new information I feel decreases the likelihood of pro-secession winning the election,89,"If otheres share my views on an impactful slogan, I will increase my probability. However it will still be 0.5 because I could just have a confirmation bias and no one could care about the slogan",195,"Solely on this information, rally size is 10% indicative of the election results.",81,The last 10 reform referendums are independent of the study that showed those kind of referendums failed more often.,116,The debate winners statistic is indictive of current debate winners since the media reported the winners absolutley after the debare,132,0.6 -0.4 = 0.2. The new information is directly relatable to the previous information so I subtracted,101,998,142.57,0.05,1,500,0,47,1,2,3,6,6,5,5.00,2,6,3,3,3.50,6,3,6,6,5.25,5,3,2,6,4.00,3,6,5,5,4.75,3,6,7,6,7,5,2,4,6,2,6,7,7,2,4,7,4,5,5.00,3,6,5,6,3,3,7,7,6,5.11,3,1,2,3
4/17/17 10:46,4/17/17 11:01,3465,0,0,0.50,0.00,0.00,0.70,0.20,0.20,0.20,0.30,-0.50,0.20,0.30,0.00,0.50,0.00,0.30,0.60,0.10,0.10,0.40,0.10,-0.20,0.10,0.22,0.14,-0.01,0.40,-0.71,0.00,1.50,0.20,-0.33,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,100,0,24,0,0,3,6,3,3,3.75,2,2,3,2,2.25,6,5,6,5,5.50,3,6,6,6,5.25,2,6,5,3,4.00,2,2,7,5,5,3,3,4,2,4,2,5,5,5,5,6,5,4,4.11,6,7,6,7,5,6,7,7,6,6.33,3,1,2,1
4/2/17 8:22,4/2/17 8:32,3414,0,0,0.50,0.00,0.00,0.60,0.10,0.10,0.50,0.00,-0.10,0.50,0.00,0.00,0.60,0.10,0.10,0.60,0.10,0.00,0.40,0.10,-0.20,0.10,0.08,0.06,-0.01,0.20,-0.17,0.00,0.20,0.00,-0.33,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,24,0,2,7,5,6,6,6.00,5,6,5,6,5.50,6,6,5,6,5.75,4,3,3,3,3.25,2,5,5,5,4.25,4,5,4,4,7,2,7,3,4,4,5,5,2,2,4,3,4,3,4.00,6,6,6,6,3,4,6,6,6,5.44,3,1,2,1
4/24/17 19:01,4/24/17 19:07,1202,0,0,0.50,0.00,0.00,0.60,0.10,0.10,0.20,0.30,-0.40,0.10,0.40,-0.10,0.70,0.20,0.60,0.60,0.10,-0.10,0.40,0.10,-0.20,0.10,0.25,0.17,-0.01,0.20,-0.67,-0.50,6.00,-0.14,-0.33,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,100,0,47,1,1,5,3,5,5,4.50,5,5,5,5,5.00,6,5,6,5,5.50,6,6,6,6,6.00,6,3,5,4,4.50,3,5,6,3,3,2,4,3,3,4,4,4,5,5,4,3,3,5,3.83,4,6,4,4,4,5,4,4,4,4.33,4,1,2,3
3/26/17 15:30,3/26/17 15:34,1540,0,0,0.50,0.00,0.00,0.60,0.10,0.10,0.20,0.30,-0.40,0.40,0.10,0.20,0.70,0.20,0.30,0.60,0.10,-0.10,0.40,0.10,-0.20,0.10,0.22,0.13,-0.01,0.20,-0.67,1.00,0.75,-0.14,-0.33,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,5,3,6,2,4.00,5,4,3,4,4.00,4,2,5,4,3.75,5,3,4,4,4.00,6,3,6,3,4.50,4,4,4,2,5,4,4,2,2,4,1,7,7,6,4,5,2,3,3.89,5,4,5,4,2,4,3,4,4,3.89,5,1,1,1
4/19/17 1:11,4/19/17 1:47,3675,1,0,0.95,0.00,0.00,0.60,0.35,-0.35,0.67,0.28,0.07,0.70,0.25,0.03,0.70,0.25,0.00,0.60,0.35,-0.10,0.40,0.55,-0.20,0.55,0.13,0.29,-0.08,-0.37,0.12,0.04,0.00,-0.14,-0.33,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,100,0,4,0,1,2,2,5,3,3.00,6,5,6,4,5.25,7,7,7,6,6.75,7,7,6,1,5.25,5,6,5,7,5.75,1,1,7,6,6,3,5,5,3,7,5,5,3,5,2,2,6,4,4.22,7,7,7,7,3,1,7,7,7,5.89,3,1,1,2
4/7/17 22:12,4/7/17 22:58,3270,0,1,0.50,0.00,0.00,0.70,0.20,0.20,0.20,0.30,-0.50,0.95,0.45,0.75,0.50,0.00,-0.45,0.70,0.20,0.20,0.45,0.05,-0.25,0.05,0.39,0.17,-0.01,0.40,-0.71,3.75,-0.47,0.40,-0.36,I feel that the polling isn't very viable and isn't representative of the election. Therefore i attributed a 50% as i give both parties an equal chance of winning.,163,The statement highly favors secession as the Apple citizenry vote may pendant the camp favoring secession,105,Clearly slogan has no impact on election results and in past election there appears correlation to whether i prefer the slogan and the outcome of the election.,159,Having a rally is statistically significant of the outcome,58,I don't see the correlation between referendum and the vote,59,It appears winning debates is causation for winning elections.,62,Polling models don't appear to predict the outcome at hand,58,664,94.86,0.05,1,5,1,47,1,3,3,1,2,1,1.75,5,4,3,3,3.75,5,3,4,4,4.00,6,6,3,6,5.25,4,2,5,5,4.00,5,5,5,3,7,5,2,7,5,5,5,5,5,5,2,5,5,5,4.78,6,5,6,3,5,5,4,6,5,5.00,3,1,1,1
4/24/17 23:10,4/24/17 23:23,2582,0,0,0.50,0.00,0.00,0.40,0.10,-0.10,0.40,0.10,0.00,0.40,0.10,0.00,0.40,0.10,0.00,0.50,0.00,0.10,0.50,0.00,0.00,0.00,0.03,0.06,0.00,-0.20,0.00,0.00,0.00,0.25,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,20,0,47,1,1,5,3,6,3,4.25,3,3,5,3,3.50,6,5,5,6,5.50,7,6,6,7,6.50,3,5,3,5,4.00,3,5,5,3,5,5,5,3,3,4,6,6,5,6,5,5,3,5,4.56,3,6,6,5,3,5,6,5,5,4.89,3,1,2,1
2/27/17 18:12,2/27/17 18:31,3349,0,0,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,3,5,6,3,4.25,1,2,3,2,2.00,6,4,6,5,5.25,5,3,3,6,4.25,4,3,4,5,4.00,2,2,2,3,3,1,2,5,2,3,4,3,3,6,2,1,4,4,2.89,2,4,3,6,2,3,4,4,5,3.67,3,1,2,2
