userid,clarity,account,feltacc,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_correct,crt2,crt2_correct,crt3,crt3_correct,crt_total,consc_1,consc_2,consc_3,consc_4,consc,extra_1,extra_2,extra_3,extra_4,extra,agree_1,agree_2,agree_3,agree_4,agree,open_1,open_2,open_3,open_4,open,neuro_1,neuro_2,neuro_3,neuro_4,neuro,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,aomt,educ,age,gender,race,debrief,end,LocationLatitude,LocationLongitude,LocationAccuracy
1,0,1,1,60,40,10,60,40,0,44,56,-16,65,35,21,68,32,3,70,30,2,75,25,5,15,7.265306122,36.85714286,2.5,The No camp has a consistent following so I think they have a greater than 50% chance of winning. ,98,I think the probability decreased because two prominent people recommended conflicting votes. I think the fact that the most famous author in Apple urged the public to vote no definitely reduced the likelihood that the the No camp will win the election. ,254,There has been risks and concerns about Apple become independent is worrisome and the Yes theme is providing hope. ,115,It still seems like there is a lot of back and forth so it is has to be sure in my probability but the No camp is still in the lead and won the final public debate which will certainly influence people who are undecided to vote for independence. ,246,I agree it can't immensely influence the result because it is a different study but I think that only 11% of votes toward the status quo will influence pro-independence slightly. ,179,The sociologist found flaws in question 5 and showed an underepresentation of the No vote,89,This study doesn't accurately account for people who don't usually vote. I think this information supports independence,119,1100,157.1428571,0.10,0,100,0,24,0,0,5,3,5,5,4.5,6,6,5,5,5.5,7,7,6,7,6.75,5,6,6,6,5.75,6,6,5,6,5.75,5,5,4,6,6,5,6,3,4,4,4,6,2,5,4,1,3,5,4.333333333,5,6,6,6,3,5,3,3,4,4.555555556,3,1,2,1,1,1,39.95970154,-75.19680023,-1
2,0,0,0,50,50,0,63,37,13,41,59,-22,39,61,-2,39,61,0,43,57,4,45,55,2,5,6.163265306,54.28571429,-0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,47,1,2,3,4,5,4,4,5,6,4,6,5.25,6,5,5,6,5.5,5,6,4,6,5.25,3,2,4,2,2.75,5,3,4,5,5,2,4,2,4,6,5,6,3,5,5,4,4,4,4.222222222,2,6,5,6,5,3,5,4,4,4.444444444,3,1,2,1,1,1,39.95970154,-75.19680023,-1
3,1,0,0,43,57,57,29,71,14,27,73,2,82,18,55,70,30,12,54,46,16,54,46,0,11,15.67346939,48.71428571,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,5,5,7,7,6,6,7,6,7,6.5,7,6,5,7,6.25,7,3,3,7,5,2,6,4,4,4,3,7,1,5,5,1,6,6,2,7,2,2,3,2,6,1,3,4,3.666666667,2,3,3,7,5,3,5,3,2,3.666666667,3,1,2,3,1,1,39.95970154,-75.19680023,-1
4,1,1,1,46,54,54,62,38,16,31,69,31,69,31,38,48,52,21,79,21,31,51,49,28,5,12.73469388,44.85714286,27.5,"The two camps are even, but the Yes camp clearly started to gain votes since it catch up to the no camp.",104,The no camp has a greater number of influential people to back it up.,69,Yes theme is overall better and more convincing. ,49,Yes camp is gaining ground and the poll is almost over.,55,I think there's a pretty even chance of either camps winning..,62,Yes camp probably has less votes than people think while the no camp has more than people think. ,97,There is an equal chance because we do not know if these people will be for or against independence. ,101,537,76.71428571,0.05,1,20,0,24,0,1,5,6,6,6,5.75,2,3,3,4,3,7,7,7,7,7,5,6,6,6,5.75,3,5,5,5,4.5,4,5,2,6,4,2,6,6,2,2,6,6,2,2,2,2,2,2,3.5,2,5,2,4,4,4,4,2,2,3.222222222,3,1,2,2,1,1,39.95970154,-75.19680023,-1
5,0,0,0,50,50,0,55,45,5,48,52,-7,25,75,-23,37,63,12,19,81,-18,26,74,7,24,11.87755102,62.85714286,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,5,5,6,6,5.5,5,4,4,5,4.5,4,3,5,3,3.75,5,5,6,6,5.5,3,6,5,5,4.75,4,4,5,5,4,3,5,5,5,3,4,5,4,3,3,4,5,3,4.111111111,4,3,3,6,5,3,5,3,3,3.888888889,3,1,2,3,1,1,39.95970154,-75.19680023,-1
7,1,0,0,51,49,49,53,47,2,29,71,24,64,36,35,76,24,12,81,19,5,80,20,1,29,15.14285714,38,13.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,3,4,2,3,3,7,6,7,5,6.25,7,5,7,3,5.5,7,6,6,6,6.25,7,3,3,1,3.5,4,6,1,6,5,7,7,4,1,5,5,7,1,4,2,4,1,6,4.222222222,6,3,2,1,7,1,7,2,5,3.777777778,3,1,2,1,1,1,39.95970154,-75.19680023,-1
8,1,0,0,51,49,49,40,60,11,70,30,30,54,46,16,49,51,5,57,43,8,58,42,1,7,6.448979592,45.85714286,11.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,5,1,24,0,1,5,3,5,3,4,4,3,3,3,3.25,5,5,5,5,5,3,5,4,3,3.75,5,4,5,5,4.75,7,7,4,4,1,7,4,4,4,7,7,4,7,7,7,4,1,7,5.166666667,5,5,6,5,5,3,5,5,5,4.888888889,3,1,1,4,1,1,39.95970154,-75.19680023,-1
9,1,1,1,30,70,70,30,70,0,30,70,0,30,70,0,40,60,10,61,39,21,60,40,1,30,11.63265306,59.85714286,5.333333333,The no camp was winning but something obviously changed in the campaign that caused the yes camp to catch up so I assume the yes camp will continue to gain traction. ,166,The more famous author in Apple will most likely have more influence.,69,I originally thought that no would win but hope is likely to be a more effective tool for gaining support,105,I think that the trend is shifting and people are likely to be influenced by other people's opinions,100,I think that the information is still the same as in the past scenario.,71,"If the estimates are incorrect in this trend, I think it is likely that the no votes will be more than expected based on this evidence.",135,I think that the number would be the same because the chances that these voters are probably about half for each camp.,118,764,109.1428571,0.05,1,100,0,47,1,2,4,5,5,5,4.75,3,5,6,4,4.5,5,5,4,6,5,5,5,5,5,5,3,4,4,4,3.75,4,4,5,4,7,3,5,3,3,5,5,5,5,5,4,4,4,5,4.444444444,5,5,5,5,3,5,3,4,4,4.333333333,5,1,2,1,1,1,39.95970154,-75.19680023,-1
10,0,1,1,50,50,0,60,40,10,40,60,-20,45,55,5,45,55,0,60,40,15,50,50,-10,0,5.714285714,50,0,"Given the fact that the deadline is approaching and that the No Camp has been losing support, it is reasonable to assume that it is even. ",138,There has been more support for the No Camp and there are stipulations in place to either side. No could win. ,110,"The public needs to rally support over this cause. If the key Yes theme has been hope, it will take away supporters for the No Camp. The uncertainty is not going to rally the people. ",183,"I think that although the final public debate helps the No campaign, the people are moving towards yes and are not favoring the uncertainty that come with no. ",159,This does not sway the public. I think the fact that the cases are too different to be directly comparable makes this evidence at best circumstantial. ,151,"I believe that the lack of No in referendum is worrying. However, the No party will begin to come out and break the spiral of silence. ",135,There could be some doubt as to who is voting for whom. It could be anyone's game again. ,89,965,137.8571429,0.05,1,5,1,47,1,3,5,3,6,5,4.75,6,6,6,6,6,6,6,6,7,6.25,6,6,5,7,6,3,4,2,6,3.75,7,7,5,5,5,5,5,6,5,7,7,5,7,7,3,6,5,5,5.666666667,4,4,4,6,4,4,4,3,4,4.111111111,3,1,1,3,1,1,39.95970154,-75.19680023,-1
11,0,1,1,50,50,0,60,40,10,40,60,-20,30,70,-10,15,85,-15,30,70,15,20,80,-10,30,12.85714286,65,-5,Since the no camp is now even with the yes camp,47,people will more likely follow the famous author since he is more well known,76,people will definitely vote for the yes slogan more as it is more optimistic and positive,89,"the poll showed the yes camp winning, but a poll is still just a poll",69,people are more likely to swing to the yes side,47,as said before a poll is just a poll so if it underestimated the No votes then they would have a greater chance to win,118,"these people will most likely vote for the Yes, meaning that the No has a lower chance of winning",97,543,77.57142857,0.05,1,100,0,24,0,1,6,6,5,6,5.75,3,3,3,4,3.25,5,6,3,6,5,5,5,5,5,5,1,1,1,1,1,6,6,2,2,4,1,5,3,3,5,5,5,3,3,5,4,5,5,4,4,5,5,4,5,3,5,3,3,4.111111111,2,1,1,1,1,1,39.95970154,-75.19680023,-1
12,1,0,0,72,28,28,49,51,23,48,52,1,74,26,26,29,71,45,51,49,22,62,38,11,10,12.28571429,45,21.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,5,5,6,6,5.5,3,5,4,5,4.25,6,5,6,6,5.75,5,4,4,5,4.5,4,3,4,4,3.75,6,6,2,6,2,6,6,2,6,2,6,6,6,2,6,6,2,6,4.666666667,4,4,4,3,4,4,4,4,4,3.888888889,5,1,2,2,1,1,39.95970154,-75.19680023,-1
13,0,0,0,51,49,1,93,7,42,97,3,4,70,30,-27,34,66,-36,48,52,14,71,29,23,20,18.81632653,33.71428571,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,47,1,1,4,3,3,2,3,5,7,6,6,6,6,6,6,7,6.25,5,5,4,5,4.75,6,3,5,5,4.75,5,5,3,3,7,1,7,5,3,5,5,5,3,5,3,3,7,6,4.5,5,5,5,3,3,5,3,5,5,4.333333333,3,1,2,3,1,1,39.95970154,-75.19680023,-1
14,1,1,1,50,50,50,41,59,9,29,71,12,38,62,9,28,72,10,42,58,14,31,69,11,19,6.571428571,63,10.83333333,The Yes camp seems to be gaining momentum so their lead is no longer as reliable.,81,Yes camp seems to be more inclusive,35,People like optimistic leaderships,34,The leader won the debate,25,People like to simply stick with the status quo,47,The polls don't seem to be very accurately portraying the results,65,These people would most likely go with the majority,51,338,48.28571429,0.90,0,20,0,12,0,0,5,6,6,6,5.75,5,3,5,2,3.75,6,6,6,5,5.75,6,5,5,6,5.5,3,3,5,5,4,3,3,3,3,5,3,4,4,2,5,5,5,4,5,4,4,4,5,3.944444444,4,6,4,6,5,3,5,4,5,4.666666667,3,1,2,4,1,1,39.95970154,-75.19680023,-1
15,0,0,0,40,60,-10,40,60,0,40,60,0,20,80,-20,20,80,0,30,70,10,30,70,0,10,7.346938776,68.57142857,-1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,47,1,1,1,3,5,4,3.25,5,7,7,6,6.25,5,6,2,6,4.75,5,5,3,5,4.5,2,3,4,5,3.5,6,6,5,5,5,6,6,2,6,6,1,6,1,6,1,5,7,1,4.5,5,2,6,6,3,5,3,6,4,4.444444444,3,1,2,1,1,1,39.95970154,-75.19680023,-1
16,1,1,1,50,50,50,60,40,10,30,70,30,40,60,10,50,50,10,50,50,0,50,50,0,0,6.93877551,52.85714286,10,Yes caught up in numbers so I think No camp has a lesser chance of winning.,75,There are more partisans in favor of No compared to Yes. ,57,the No theme is not very inspiring ,35,Yes seems to be doing better as of late so I think they have a better chance of winning compared to No. ,104,Not really sure what to make of this so I gave No a 50% chance of winning ,74,I think this suggests that both parties have a relatively equal chances based on this assessment ,97,For the same reason as the previous question ,45,487,69.57142857,0.05,1,100,0,24,0,1,4,5,6,5,5,4,4,5,4,4.25,5,6,5,6,5.5,5,6,6,6,5.75,2,3,3,3,2.75,3,5,6,4,4,4,3,3,3,5,5,5,4,4,4,4,4,4,4.111111111,4,5,5,6,4,4,4,5,4,4.555555556,3,1,2,7,1,1,39.95970154,-75.19680023,-1
17,1,0,0,40,60,60,51,49,11,38,62,13,40,60,2,68,32,28,63,37,5,72,28,9,32,12.44897959,46.85714286,11.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,4,5,6,5,2,4,2,5,3.25,7,6,5,6,6,5,6,6,6,5.75,1,1,1,2,1.25,5,5,5,5,5,7,5,2,2,2,6,6,2,6,6,2,6,2,4.388888889,2,5,6,7,6,2,6,6,6,5.111111111,3,1,1,4,1,1,39.95970154,-75.19680023,-1
18,1,1,1,60,40,40,70,30,10,10,90,60,30,70,20,80,20,50,85,15,5,90,10,5,30,23.46938776,39.28571429,25,"There might have been some significant event that has led people to shift to the Yes camp. However, since 3 weeks is still quite a bit of time, members who shifted to the Yes camp may go back. I put 60% because there aren't enough details for me to be very sure.",262,"The Prime Minister offers a decent proposal, and by having the most famous author support this idea, people might lean towards voting No rather than Yes. The proposal might appeal enough to people that given a little push, they'll in fact vote No.",247,"People will hope even when it seems the world is against them. The Yes theme is more appealing than the No theme, so it is likely that people will be more moved by the Yes theme and decide to vote Yes.",201,"A lot of people are changing their mind, and since it is almost time for the election, people are more seriously considering their votes. With a positive theme and a leader to guide them, it seems very possible that the Yes camp will win.",238,"History tells a lot, and often things will be repeated. While Yes camp has started to show promise, the No camp has been consistent and may take back some of the votes it lost. They seem more likely to win as people will likely want to refrain from changing.",258,"Yes only appears to being doing well, but since the No camp has a good amount of voters, in the actual election, the people who haven't thought much about the issue might end up voting No, leading to a majority of voters voting No.",231,"Because there are so many people who don't actively express their opinions, those who rarely vote may vote in the election and choose No as they might not want the change.",171,1608,229.7142857,0.05,1,5,1,47,1,3,3,3,5,3,3.5,3,3,3,3,3,5,4,5,4,4.5,6,4,3,4,4.25,4,5,5,5,4.75,5,5,5,5,3,3,5,5,5,5,5,5,4,3,5,5,5,5,4.611111111,4,5,5,7,4,4,4,5,5,4.777777778,3,1,2,4,1,1,39.95970154,-75.19680023,-1
19,1,0,0,37,63,63,45,55,8,15,85,30,51,49,36,44,56,7,31,69,13,59,41,28,22,10.81632653,59.71428571,20.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,12,0,1,3,3,5,2,3.25,2,2,2,2,2,6,5,5,6,5.5,5,3,3,4,3.75,5,3,5,6,4.75,2,6,5,2,1,7,4,4,6,2,4,4,4,2,2,6,4,4,3.833333333,6,6,4,5,3,5,3,4,4,4.444444444,3,1,2,4,1,1,39.95970154,-75.19680023,-1
20,0,0,0,52,48,2,48,52,-4,54,46,6,52,48,-2,49,51,-3,60,40,11,55,45,-5,3,2.979591837,47.14285714,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,5,1,47,1,2,5,4,5,3,4.25,6,3,3,4,4,5,5,4,5,4.75,6,5,3,5,4.75,6,6,6,7,6.25,6,4,2,5,5,2,5,5,4,5,5,4,4,5,5,6,4,5,4.5,3,5,5,6,3,5,3,2,4,4,3,1,2,1,1,1,39.95970154,-75.19680023,-1
21,0,1,1,50,50,0,41,59,-9,35,65,-6,27,73,-8,27,73,0,36,64,9,36,64,0,14,5.428571429,64,-2.333333333,They're even so the election could go either way even though the No camp was leading for most of the year.,106,"I think people tend to listen to figures who have government experience, like the diplomat, over famous people.",111,"The No camp's theme doesn't offer any benefits, it just emphasizes the negatives of the opposition.",99,The Yes camp has more momentum and debates are usually significant.,67,I don't think this evidence changes the likelihood of the No camp winning.,74,"If the sociologist is right, then there's a higher chance of the No camp winning, but the past evidence still leans in favor of the Yes camp.",141,"It's hard to predict how the people who rarely or never vote will vote, or even if they'll vote at all. It could go either way.",127,725,103.5714286,0.05,1,5,1,47,1,3,3,3,6,2,3.5,4,5,5,5,4.75,7,5,5,6,5.75,6,6,4,6,5.5,5,5,5,5,5,3,4,5,3,6,4,3,3,2,4,4,6,4,4,5,4,6,6,4.222222222,4,6,5,6,4,4,4,4,5,4.666666667,3,1,2,1,1,1,39.95970154,-75.19680023,-1
