userid,clarity,account,feltacc,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,avgabspercent,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_correct,crt2,crt2_correct,crt3,crt3_correct,crt_total,consc_1,consc_2,consc_3,consc_4,consc,extra_1,extra_2,extra_3,extra_4,extra,agree_1,agree_2,agree_3,agree_4,agree,open_1,open_2,open_3,open_4,open,neuro_1,neuro_2,neuro_3,neuro_4,neuro,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,aomt,educ,age,gender,race
238,1,0,0,51,49,49,52,48,0.019607843,50,50,-0.038461538,50,50,0,51,49,0.02,51,49,0,50,50,-0.019607843,1,0.612244898,49.28571429,6.997362637,699.7362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,47,1,1,2,6,5,4,4.25,4,4,4,4,4,7,6,7,6,6.5,3,4,4,4,3.75,4,4,5,5,4.5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,3,4.611111111,5,5,5,5,4,2,5,5,4,4.444444444,3,1,2,1
92,1,1,1,60,40,40,54,46,-0.1,45,55,-0.166666667,50,50,0.111111111,45,55,-0.1,50,50,0.111111111,50,50,0,10,3.673469388,49.42857143,5.693650794,569.3650794,Yes camp seems to be building momentum so it's likely that it will continue to gain steam even though no camp has remained in the lead for the majority of the time,163,"After this, maybe slightly more than chance as they were previously even, I don't think this would sway a large amount of people, but enough to put them in the lead again",170,"Paired with the previous information, they still have a high chance but the yes campaign knows it's better to highlight positive than try to scare people out of voting for someone else",184,"It's just one poll so I don't think their chances are gone, but public opinion on the debate does matter enough to even it out",126,"If the yes camp is gaining support and the swing thing is true, even a little true, it'll put the yes camp over the edge to win",127,There are too many things that can't be accounted for,53,"Again, given the closeness of their polls at the beginning, it's hard to predict the actions of silent players and if they'd even really impact the election",156,979,139.8571429,0.05,1,5,1,47,1,3,2,3,5,3,3.25,4,6,5,5,5,5,2,5,6,4.5,5,5,6,6,5.5,1,4,2,4,2.75,6,6,6,6,6,4,6,5,4,6,5,6,6,5,4,6,6,6,5.5,4,6,6,7,4,2,7,4,5,5,3,1,2,7
224,0,1,1,50,50,0,50,50,0,50,50,0,50,50,0,55,45,0.1,53,47,-0.036363636,53,47,0,3,1.795918367,48.42857143,0.009090909,0.909090909,Because there could be several factors causing the polls to be even. I don't have enough information to make a clear argument as to whether the No Camp will or won't win. ,171,I do not have enough information to make a good argument about who will win. ,77,Same reason as before. ,23,"I do not think that people actually change their opinion based on who wins the debate. Therefore, my answer does not change. ",125,"This is hard evidence that voters my decide not to declare independence. However, we don't know how many voters already swung toward the status quo since we are already in the last month. Therefore, we don't know how much the percentage in favor has yet to change. It could already be at its steady state. ",306,Perhaps this new information pulls the chance back down a bit. ,63,Same as last. People are likely to come out for both the yes and no side. ,74,839,119.8571429,0.05,1,5,1,47,1,3,7,7,7,7,7,4,7,7,7,6.25,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5,7,4,5,7,4,6,5.666666667,3,1,1,2
98,0,0,0,50,50,0,50,50,0,47,53,-0.06,42,58,-0.106382979,47,53,0.119047619,50,50,0.063829787,51,49,0.02,1,2.408163265,51.85714286,0.00521349,0.521348965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,47,1,1,3,3,4,3,3.25,5,5,5,6,5.25,6,6,5,6,5.75,5,6,6,6,5.75,2,4,4,5,3.75,4,4,4,3,5,3,3,2,2,5,4,4,3,3,3,2,3,4,3.388888889,5,6,5,6,3,6,6,4,6,5.222222222,3,1,2,1
221,0,0,0,61,39,11,56,44,-0.081967213,56,44,0,45,55,-0.196428571,47,53,0.044444444,52,48,0.106382979,47,53,-0.096153846,14,4.857142857,48,1.539468256,153.9468256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,1,47,1,2,4,4,5,3,4,4,6,6,6,5.5,6,6,6,7,6.25,6,7,7,7,6.75,6,4,3,5,4.5,6,7,6,7,6,7,6,6,1,7,7,7,6,6,4,2,6,7,5.777777778,6,7,6,4,2,4,6,5,5,5,5,1,2,1
79,0,0,0,55,45,5,50,50,-0.090909091,55,45,0.1,50,50,-0.090909091,54,46,0.08,54,46,0,52,48,-0.037037037,3,1.87755102,47.14285714,0.708734969,70.87349687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,20,0,47,1,1,6,3,6,3,4.5,4,6,5,5,5,6,6,7,7,6.5,7,5,3,6,5.25,3,4,3,5,3.75,3,1,5,5,5,6,5,6,3,7,7,7,4,6,4,5,5,5,4.944444444,6,7,6,7,5,6,7,7,6,6.333333333,5,1,2,4
258,1,0,0,69,31,31,69,31,0,50,50,-0.275362319,51,49,0.02,50,50,-0.019607843,51,49,0.02,50,50,-0.019607843,19,7.591836735,44.28571429,4.389345999,438.9345999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,12,0,0,1,3,3,2,2.25,6,6,2,6,5,6,6,6,7,6.25,6,2,2,6,4,6,7,4,6,5.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,5,3,3,3.888888889,2,1,2,4
22,1,0,0,60,40,40,58,42,-0.033333333,58,42,0,45,55,-0.224137931,45,55,0,50,50,0.111111111,50,50,0,10,5.469387755,47.71428571,5.693377121,569.3377121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,24,0,0,5,5,5,5,5,5,6,5,5,5.25,6,5,6,6,5.75,6,5,5,6,5.5,3,3,3,5,3.5,3,3,3,3,6,4,5,3,3,6,5,5,2,5,5,3,6,6,4.222222222,4,7,7,7,4,3,6,6,5,5.444444444,3,1,2,7
256,0,1,1,60,40,10,50,50,-0.166666667,50,50,0,65,35,0.3,40,60,-0.384615385,70,30,0.75,30,70,-0.571428571,30,11.02040816,47.85714286,1.418184197,141.8184197,because of statistical trend - assumption that gain continues - momentum - no matter how irrational,99,momentum dwindling - 2 public figures to 1,42,consistent - no perceptive change,33,shifted to yes - self fulfilling prophecy going forward,55,continued,9,new evidence - old polls less credible,38,more voting towards independence,32,308,44,1.05,0,100,0,47,1,1,1,5,5,3,3.5,6,7,6,7,6.5,7,7,7,7,7,7,7,7,7,7,4,3,5,1,3.25,2,6,6,6,6,6,6,7,6,6,6,6,6,6,6,4,6,6,5.722222222,6,6,2,7,2,2,7,2,7,4.555555556,5,2,2,1
132,1,0,0,50,50,50,50,50,0,50,50,0,32,68,-0.36,59,41,0.84375,35,65,-0.406779661,75,25,1.142857143,25,9.632653061,49.85714286,7.317118212,731.7118212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,47,1,2,6,7,6,6,6.25,4,3,3,3,3.25,5,3,5,3,4,6,6,6,6,6,3,3,5,5,4,4,6,4,4,2,6,1,2,2,4,6,5,3,3,6,2,2,6,3.777777778,5,6,4,5,3,5,5,5,4,4.666666667,2,1,1,1
